Designator,Mid X,Mid Y,Rotation,Layer
C1,-4.0,4.5,180.0,top
C2,-4.0,-3.5,180.0,top
C3,1.75,-4.75,0.0,top
C4,9.5654,-10.5156,180.0,top
D1,-0.2,4.5,180.0,top
D2,-0.2,-3.5,180.0,top
D3,-0.2,-11.5,0.0,top
J1,9.67,0.03,0.0,top
J2,-7.4,-0.005,270.0,top
R1,4.5,9.0,0.0,top
R2,4.5,7.0,0.0,top
R3,4.5,8.0,180.0,top
R4,-2.5,4.0,270.0,top
R5,-2.5,-4.0,270.0,top
R6,4.5,1.0,0.0,top
R7,4.5,-1.0,0.0,top
R8,4.5,0.0,180.0,top
R9,-2.8044,-11.5,0.0,top
U1,-1.0,8.0,90.0,top
U2,-1.0,0.0,90.0,top
U3,-1.0,-8.0,270.0,top
